Name,Type,Transmission,General,Gram Stain,Morphology,Laboratory,Treatment,Prevention,Disease,Signs,Related,Sources
Human Herpes Virus 8 (HHV8),Virus,,,,,,HAART -> If HIV-positive,,Kaposi's Sarcoma -> AIDS patients; Castleman's disease,,,Kaposi Sarcoma (Wikipedia)
Human Immunodeficiency Virus (HIV),Virus,,Normal CD4: 800; AIDS CD4: 200,,(+) ssRNA; Retrovirus; Lentiviruses,Early: PCR viral load + immunoassay; Chronic: ELISA (HIV Abs); Confirmatory: Western blot,"HAART -> If HIV-positive; 2x NRTI + 1 other (NNRTI, protease-I, entry-I, or fusion-I)",PrEP: Pre-exposure prophylaxis; PrEP: Truvada (Emtricitabine (NRTI) + Tenofovir (NRTI)); PEP: Post-exposure prophylaxis; PEP: Emtricitabine; PEP: Tenofovir; PEP: +/- Raltegravir; Pregnancy: Give mom AZT before delivery (if not on 2 + 1 regimen); Standard Precautions; Safe sex,"AIDS; Acute Anti-Retroviral Syndrome: Flu-like symptoms (arthralgias, myalgias, lymphadenopathy); Immune Reconstitution Inflammatory Syndrome (IRIS) -> Paradoxical worsening of sx after tx","Children: Seizures, motor deficits, acquired microcephaly, behavioral and cognitive decline; AIDS-defining: Retinitis CMV, Kaposi's sarcoma, Toxoplasmosis, Hairy leukoplakia, Pneumocystitis pneumonia, Thrush",Pneumocystis jirovecii (PCP) -> CD4 <200; Toxoplasma gondii -> CD4 <100; Mycobacterium avium -> CD4 <50,
Human Papillomavirus (HPV),Virus,,Strains 6/11: Low-risk; Strains 16/18: High-risk; Common STI; Strong association with many cancers (SCC and cervical),,,,,HPV Vaccine (Gardasil) -> Targets HPV 6/11/16/18; 9-valent Gardasil -> Adds 31/33/45/52/58; Pap smear -> Screening,"6/11: Genital warts (papilloma, condyloma, verruca vulgaris); 16/18: SCC of cervix, vulva, vagina, penis, or anus",,,
Influenza,Virus,,"Strains determined based on Hemagglutinin (HA) and Neuraminidase (NA) variants; H3N2 and H1N1 most commonly responsible for annual flu; H1N1 responsible for Spanish Flu (1918) and Swine Flu (2009); H5N1 responsible for ""bird flu"" and has high mortality; Three type (A, B, C) -> A causes most human disease",,Orthomyxovirus; Enveloped; (-) ssRNA; Segmented genome -> 7-8 segments,General: Clinical suspicion; Definitive: Viral culture,Supportive; Oseltamivir (Tamiflu) -> Can help limit spread and mildly shorten duration of symptoms if given within 48 hours of infection,"Influenza Vaccine (inactivated); Influenza Vaccine (live attenuated) -> Approved for adults 18-50, contraindicated in pregnant women and those with immunodeficiency",Flu; Pneumonia,Fever; Myalgia; Sore throat; Cough; Fatigue; Influenza B: GI sx,,"Schaechter's Mechanisms of Microbial Disease, 5th edition, pp. 374-380; Can oseltamivir (Tamiflu) prevent complications?"
Japanese Encephalitis virus,Virus,Arbovirus -> Culex mosquitoes,,,Flavivirus; (+) ssRNA,Serology,,Inactivated mouse brain-derived vaccine; Inactivated Vero cell-derived vaccine -> Only available in US; Live attenuated vaccine; Live recombinant vaccine,Japanese Encephalitis,Flu-like symptoms; Fever; Rash; Myalgia; Chills,,
JC Virus,Virus,,Immunocompromised host,,Polyomavirus,,,,Progressive Multifocal Leukoencephalopathy (PML),Non-enhancing brain lesions,,
Kingella kingae,Bacteria,,HACEK organism -> Culture negative organisms causing fever of unknown origin (FUO) in endocarditis,Gram negative,Coccobacillus,,,,Endocarditis -> Subacute,,,
Klebsiella pneumoniae,Bacteria,,Associated with infection of immunocompromised patients,Gram negative,Rod,Lactase positive; Mucoid colonies,Cephalosporins; Aminoglycosides; Fluoroquinolones -> Significant antibiotic resistance,Hand-washing; Gown and gloves in infected areas,Community acquired pneumonia (CAP) -> In alcoholic or other aspiration risk; Urinary tract infection (UTI),,,
La Crosse Virus,Virus,,Mosquito-borne -> Aedes mosquito,,Bunyavirus,,,,La Crosse Encephalitis -> Severe form often in kids <16,Flu-like symptoms,,
Lactobacilli,Bacteria,,,Gram positive,Rod,Facultative anaerobic,,,Dental caries/cavities,,,
Lassa Fever Virus,Virus,Rodent-Human; Human-Human,Occurrs in West Aftrica; Bioterrorism agent -> Category A,,Enveloped; Arenavirus; Ambisense RNA,,Supportive; Ribavirin,Rodent control,Lassa Fever,"Sore throat; Facial swelling; Hearing loss; ""Swollen baby syndrome""",,
Legionella pneumophilia,Bacteria,Contaminated water -> Water features in hospitals,Associated with old age and immunosuppression; Associated with contaminated water; Uniquely associated with GI symptoms (with respect to pneumonia),Gram-negative -> Does not take up gram stain in sputum,Coccobacillus; Intracellular,BCYE for growth (uncommon); Serology; Antigen testing -> Urine or bronchoalveolar lavage; Neutrophils without organisms,Macrolides; Fluoroquinolones: Levofloxacin; Fluoroquinolones: Moxifloxacin,,Legionnaires' Disease; Pontiac Fever -> Mild Legionnaires'; Atypical pneumonia -> Immunocompromised,Fever; Chills; Headache; Diarrhea,,
Leishmania,Protozoa,Sandfly,Common in Iraq and Afghanistan,,,PCR; Serology; Visceral: Bone marrow or splenic aspirate,Cutaneous: Miltefosine; Cutaneous: Sodium Stibogluconate; Cutaneous: ThermoMed device; Cutaneous: Cryotherapy; Cutaneous: Topical paromomycin; Cutaneous: Photodynamic therapy; Cutaneous: Intralesional antimonial; Mucosal: Pentavalent Antimony; Mucosal: Amphotericin B; Mucosal: Miltefosine; Visceral: Liposomal amphotericin; Visceral: Pentavalent antimonials; Visceral: Miltefosine; Visceral: Parenteral paromomycin,Insecticide spraying; Bed nets; Zoonotic infection,Cutaneous Leishmaniasis; Mucosal Leishmaniasis; Visceral Leishmaniasis -> AKA Kala azar,Cutaneous lesion resolves with scar; Ulceration of nasal mucosa/septum; Fever; Hepatosplenomegaly; Weight loss; Lymphadenopathy; Cytopenias; Elevated LFTs,,
Leptospira,Bacteria,Exposure to infected animal urine in water; veterinarians/adventurers,,,,,,Doxycycline,"Leptospirosis; Weil's Disease -> Leptospirosis + jaundice, kidney failure, and bleeding; Severe Pulmonary Hemorrhage Syndrome -> Leptospirosis + pulmonary hemorrhage",Jaundice; Acute febrile illness; Conjunctival suffusion -> Resembles conjunctivitis but without inflammatory exudates,,
Listeria monocytogenes,Bacteria,Cold cuts/lunch meat; Ice cream; Unpasteurized milk,Listeriolysin O (virulence factor); Moves within cells by using host actin polymerization,Gram positive,Rod; Intracellular -> Facultative,Anaerobe -> Facultative; Catalase positive CAMP positive; Beta-hemolytic; Psychrophilic -> Grows at cold temperatures; Mesophilic -> Grows at moderate temperatures,Penicillin; TMP-SMX; Gentamicin; Not susceptible to cephalosporins ,Proper food handling and cooking; Avoid raw/unpasteurized milk or milk products,Gastroenteritis; Miscarriage and stillbirths; Meningitis -> Neonates and older adults,Flu-like symptoms,Streptococcus agalactiae -> Meningitis in neonates; Streptococcus pneumoniae -> Meningitis in neonates and adults; Escherichia coli -> Meningitis in neonates; Neisseria meningitidis -> Meningitis in older adults; Haemophilus influenzae -> Meningitis in older adults,Listeria (Medscape)
Loa loa,Nematode,Deerfly,Microfilariae in blood during day,,,Serology,Diethylcarbamazine (DEC),,Loiasis,Fatigue; Urticaria; Arthralgia; Myalgia; Calabar swellings; Eyeworm,,
Lymphocytic choriomeningitis virus (LCMV),Virus,Rodents,Arenavirus,,Enveloped; Ambisense RNA,,,,Aseptic meningitis; encephalitis,"Biphasic febrile illness -> (1) fever, malaise, anorexia, muscle aches, headache then (2) meningitis, encephalitis",,
Malassezia furfur,Fungus,,"Confined to stratum corneum, damages melanocytes through lipid degradation; Associated with neonates receiving lipid infusions or TPN",,KOH prep -> Spaghetti and meatball appearance,,Topical selenium sulfide (Selsun Blue),,Pityriasis/tinea versicolor,Hypo and hyper pigmented skin patches,,
Marburg virus,Virus,,Bioterrorism agent -> Category A,,(-) ssRNA; Filovirus,ELISA -> IgM; PCR,Supportive,,Marburg Hemorrhagic Fever,Early: Red eyes; Early: Skin rash; Late: Hemorrhagic fever,,
Measles virus,Virus,,Paramyxovirus; Forms syncitium,,(-) ssRNA; Giant cell (syncytia) formation,,Vitamin A -> If severe,MMR vaccine; Airborne precautions; anti-measles IgG,Measles -> AKA Rubeola; Subacute sclerosing panencephalitis -> 10 years after infection; acute disseminated encephalomyelitis; measles inclusion body encephalitis; measles giant cell pneumonia,Maculopapular rash spreading from face to body; Cough; Coryza; Conjunctivitis; [i]Koplik spots -> Buccal mucosa; Photophobia,,
Molluscum contagiosum,Virus,,Poxvirus,,,,,,,"Lesion: Papular; Lesion: Central ulceration; Lesion: Wart-like; Lesion: 2-5 mm; Lesion: Face, back, buttocks",,
Moraxella (Branhamella) catarrhalis,Bacteria,,Classic respiratory bug,Gram negative,Diplococcus,,,,Acute otitis media (AOM); Upper respiratory infection (URI); Community acquired pneumonia (CAP),,,
Mumps virus,Virus,,Paramyxovirus,,Enveloped; (-) ssRNA,,,MMR vaccine,Aseptic meningitis; Meningoencephalitis; Epididymitis; Orchitis,[i]Parotid swelling -> Unilateral or bilateral; Deafness -> Unilateral nerve,,
Mycobacterium avium (MAC),Bacteria,,AIDS defining -> CD4 < 50; Reticuloendothelial spread,Does not gram stain,Bacillus,Acid fast -> AFB blood culture,Clarithromycin; Azithromycin; Ethambutol; Rifabutin; Ciprofloxacin; Amikacin,"MACrolide -> Azithromycin, Clarithromycin",Micobacerium Avium Complex (MAC) -> Infection with 3+ micobacterium species; Disseminated MAC; Pneumonia,Fever; Night sweats; Diarrhea; Weight loss; Anemia; Abdominal pain; Elevated alk phos; Splenomegaly,Human Immunodeficiency Virus (HIV) -> Predisposition,
Mycobacterium leprae,Bacteria,,,Does not gram stain,Bacillus,Acid fast -> AFB blood culture; Aerobe,Dapsone; Rifampin; Clofazimine,,Leprosy,Rash -> Hypopigmented patch,,
Mycobacterium marinum,Bacteria,,Found in fresh and salt water,,Bacillus,Acid fast -> AFB blood culture,Rifampin + ethambutol; tetracyclines; TMP-SMX; clarithromycin; Fluoroquinolones,,,"Fish tank granuloma -> Soft skin papules, pustules and ulcers",Sporothrix schenkii -> Similar lesion distribution,
Mycobacterium tuberculosis,Bacteria,Airborne -> N95 and airborne precautions,MDR form -> Resistant to at least 2 first-line drugs; XDR form ->MDR + resistant to at least 2 second-line drugs,Does not gram stain,Bacillus,"PPD: Used for screening; PPD: False positives with previous BCG vaccination; PPD: >15mm considered positive in person without risk factors; PPD: >10mm considered positive in healthcare workers, children, recent immigrant from high-prevalence country, and children <4; PPD: >5mm considered positive in immunocompromised (HIV, organt transplant); IFN-y: (i.e. Quanterferon assay) not affected by BCG; CXR: Used to rule out active TB (if positive PPD); AFB blood culture -> Grows very slowly","RIPE (rifampin, isoniazid, pyrazinamide, ethambutol)","Isoniazid -> Prophylaxis for those converting from negative to positive PPD; BCG vaccine -> False-positive on PPD test, but ignore",Tuberculosis; Miliary tuberculosis; Addisons disease -> Primary cause in developing countries; Potts disease -> TB in vertebrae,Fever; Chills; Night sweats; Weight loss; [i]Upper lobe cavitary lesion -> Reactivation; Ghon complex -> Calcified primary lesion with associated hylar lymphadenopathy,,
Mycoplasma pneumoniae,Bacteria,,,Does not gram stain,"""Fried egg"" colonies; No cell wall",Serology; Laboratory growth requires serum,Tetracyclines; Macrolides,,Atypical pneumonia -> Children and elderly; Cold Agglutinin Disease -> Autoimmune hemolytic anemia caused by cold-reacting autoantibodies,Can range from walking pneumonia to severe infection,,
Mycoplasma genitalium,Bacteria,,,Does not gram stain,"""Fried egg"" colonies; No cell wall",Nucleic Acid Amplification Test (NAAT); Anaerobic,,,,Urethritis; Endometritis; Salpingitis; Pelvic inflammatory disease (PID),,
Necator americanus,Nematode,Soil-transmitted helminth; Dog feces; Cat feces,Hookworm,,,,Albendazole; Ivermectin,,,Linear pruritic lesion,,
Neisseria gonorrhoeae,Bacteria,STI,,Gram negative,Diplococcus,Chocolate agar; Thayer-Martin agar; PCR; Nucleic Acid Amplification Test (NAAT),Pelvic: Ceftriaxone; Pelvic: Add azythro/doxy to cover Chlamydia; Eye: Ceftriaxone,Eye: Topical erythromycin or tetracycline,Gonorrhea; Pelvic inflammatory disease (PID); Disseminated Gonococcal Infection; Fitz-Hugh-Curtis syndrome -> Perihepatitis; Disseminated: Dermatitis; Disseminated: Arthritis; Disseminated: Endocarditis,Yellow mucopurulent discharge; polyuria; Dysuria; Conjunctivitis -> Neonates; Cervicitis; Endometritis; Salpingitis; Urethritis; Epididymitis -> Age <35; Proctitis,Chlamydia trachomatis -> Often coinfection,
Neisseria meningitidis,Bacteria,,Risk factor: Terminal complement component deficiency (C5-9),Gram negative,Diplococcus; Antiphagocytic capsule -> 13 serogroups,Aerobic; Oxidase positive -> Cytochrome C oxidase = blue; Requires blood and 5-10% CO2 for growth; Chocolate agar,Penicillin; Ceftriaxone -> 3rd generation; Chloramphenicol; Corticosteroids,"Meningococcal vaccine -> MCV4, tretravalent conjugate vaccine; Close contacts: Ciprofloxacin; Close contacts: Ceftriaxone; Close contacts: Rifampin",Meningitis -> All age groups besides neonates; Meningococcemia,Petechiae and/or purpura; Waterhouse-Friderichsen syndrome; Hemorrhagic rash; Meningismus; Impaired consciousness,"Streptococcus pneumoniae -> Meningitis in children, young adults, and older adults; Haemophilus influenzae -> Meningitis in children and older adults; Streptococcus agalactiae -> Meningitis in children and older adults; Listeria monocytogenes -> Meningitis in older adults",
Nipah virus,Virus,,Bioterrorism agent -> Category C,,Paramyxovirus,,,,Acute Respiratory Distress Syndrome,,,
Nocardia,Bacteria,,,Gram positive,Branching filaments,Acid fast -> Partially; Aerobe,Sulfonamides,,Nocardiosis -> Often pulmonary disease in immunocompromised,Fever; Weight loss; Night sweats; Cough -> Purulent sputum; Cavitary lung lesion,Actinomyces -> Also branching bacteria,
Norovirus,Virus,Quick spread in close quarters; [i]Cruise ships; Daycare,,,Calicivirus; Non-enveloped; Icosahedral,RT-PCR,Rehydration,Hand hygiene,Norovirus food poisoning,Vomiting; Diarrhea,,
Onchocerca volvulus,Nematode,Blackflies -> Microfilariae in skin,,,,Serology; Skin snips; Nodulectomy,Ivermectin,,Onchocerciasis -> River Blindness,Nodules; Pruritis; Rash; Depigmentation; Lichenification; Keratitis; Chorioretinitis; Lymphatic obstruction,,
Opisthorchis,Fluke,Ingestion of raw fish,,,,,,,Cholangiocarcinoma,,,
Orientia tsutsugamushi,Bacteria,Chiggers -> Larval mites,,,,,Doxycycline,,Scrub typhus,Eschar -> At site of bite,Anaplasma phagocytophilum -> Other Ricketssial Zoonoses; Ehrlichia spp -> Other Ricketssial Zoonoses; Rickettsia rickettsii -> Other Ricketssial Zoonoses,
Parvovirus B19,Virus,Respiratory,Replicates in erythroblasts,,Non-enveloped; DNA,,,,Fifth disease -> Erythema infectiosum; Aplastic crisis -> Sickle cell; Fetal hydrops -> In pregnancy (also abortion),Slapped cheek rash (maculopapular); Polyarthritis; Headache,,
Pasteurella multocida,Bacteria,[i]Dog and cat bites,,Gram negative,Coccobacillus,Aerobe -> Facultative,Beta-lactam inhibitors; Azithromycin; Fluoroquinolones,,Cellulitis; Necrotizing fasciitis; Septic arthritis; Osteomyelitis; Sepsis,,,
Plasmodium falciparum,Protozoa,Mosquito-borne -> Anopheles mosquito vector,Sequestration; Invades RBCs -> Of any age,,Banana-shaped gametocyte; Headphone ring shapes,Microscopy (thick and thin); Rapid Diagnostic Test (RDT); Malaria Diagnosis Algorithm,"Atovaquone-proguanil (Malarone); Artemether-lumefantrine (Coartem); Quinine plus Doxycycline, Tetracycline, or Clindamycin; Mefloquine","Prevent mosquito bites -> Bug nets, permethrin treated clothes, DEET; Doxycycline -> Daily; Malarone -> Daily",Malaria,Fever -> Paroxysmal; Chills; Headache -> + travel hx; Anemia -> Severe; CNS sx -> Cerebral malaria,,
Plasmodium knowlesi,Protozoa,Mosquito-borne -> Anopheles mosquito vector,Invades RBCs -> Of any age,,Trophozoite -> Band form,Microscopy (thick and thin); Antigen testing; PCR; Malaria Diagnosis Algorithm,"Atovaquone-proguanil (Malarone); Artemether-lumefantrine (Coartem); Quinine plus Doxycycline, Tetracycline, or Clindamycin; Mefloquine","Prevent mosquito bites -> Bug nets, permethrin treated clothes, DEET; Doxycycline -> Daily; Malarone -> Daily",Malaria -> Macaque monkeys or humans,Fever -> Paroxysmal; Chills; Headache -> + travel hx; Anemia -> Severe; CNS sx -> Cerebral malaria,,
Plasmodium malariae,Protozoa,Mosquito-borne -> Anopheles mosquito vector,Invades RBCs -> Of older age,,Trophozoite -> Band form,Microscopy (thick and thin); Antigen testing; PCR; Malaria Diagnosis Algorithm,"Atovaquone-proguanil (Malarone); Artemether-lumefantrine (Coartem); Quinine plus Doxycycline, Tetracycline, or Clindamycin; Mefloquine","Prevent mosquito bites -> Bug nets, permethrin treated clothes, DEET; Doxycycline -> Daily; Malarone -> Daily",Malaria,Fever -> Paroxysmal; Chills; Headache -> + travel hx; Anemia -> Severe; CNS sx -> Cerebral malaria,,
Plasmodium ovale,Protozoa,Mosquito-borne -> Anopheles mosquito vector,Invades RBCs -> Reticulocytes only; Hypnozoites -> Liver stage (hidden),,Schuffner's dots,Microscopy (thick and thin); Antigen testing; PCR; Malaria Diagnosis Algorithm,"Atovaquone-proguanil (Malarone); Artemether-lumefantrine (Coartem); Quinine plus Doxycycline, Tetracycline, or Clindamycin; Mefloquine; [i]Primaquine -> For hypnozoites (liver stage)","Prevent mosquito bites -> Bug nets, permethrin treated clothes, DEET; Doxycycline -> Daily; Malarone -> Daily",Malaria,Fever -> Paroxysmal; Chills; Headache -> + travel hx; Anemia -> Severe; CNS sx -> Cerebral malaria,,
Plasmodium vivax,Protozoa,Mosquito-borne -> Anopheles mosquito vector,Invades RBCs -> Reticulocytes only; Hypnozoites -> Liver stage (hidden),,Schuffner's dots,Microscopy (thick and thin); Antigen testing; PCR; Malaria Diagnosis Algorithm,"Atovaquone-proguanil (Malarone); Artemether-lumefantrine (Coartem); Quinine plus Doxycycline, Tetracycline, or Clindamycin; Mefloquine; [i]Primaquine -> For hypnozoites (liver stage)","Prevent mosquito bites -> Bug nets, permethrin treated clothes, DEET; Doxycycline -> Daily; Malarone -> Daily",Malaria,Fever -> Paroxysmal; Chills; Headache -> + travel hx; Anemia -> Severe; CNS sx -> Cerebral malaria,,
Pneumocystis jirovecii (PCP),Fungus,,AIDS defining -> CD4 < 200,,Crushed ping pong balls,GMS (silver) stain; Lacks ergosterol in cell membranes -> traditional antifungals ineffective,Same as prevention; Corticosteroids -> If pO2 <70 or Aa gradient > 35,First: TMP/SMX; Sulfa allergy: Dapsone; G6PD: Atovaquone; G6PD: Pentamidine (Aerosolized),Pneumonia,Fever; Cough -> Nonproductive; Substernal cehst catching or tightness; SOB -> Progressive; CXR -> Ground glass appearance,Human Immunodeficiency Virus (HIV) -> Predisposition,
Poliovirus,Virus,,Largely eliminated in most of world due to vaccination; Humans only susceptible host,,Picornavirus; (+) ssRNA; Non-enveloped; Icosahedral; 3 serotypes ,,,"Salk (IPV) -> Inactivated; Sabin (OPV) -> Oral, live attenuated",Meningitis; Polio,Flaccid paralysis; Respiratory paralysis -> Death,,
Porphyromonas gingivalis,Bacteria,,Associations: DM; Associations: Cardiovascular disease; Associations: Adverse pregnancy outcomes,Gram negative,Rod,,,,Periodontitis,,,
Powassan,Virus,Tick-borne,Flavivirus,,Enveloped,Serology,,,Encephalitis -> 10% fatal,Flu-like symptoms; Fever; Rash; Myalgia; Chills,,
Prion,Infectious protein,Genetic; Iatrogenic; Ingestion,Highly resistant to inactivation,,,,Supportive,,Kuru; Creutzfeldt-Jakob Disease; Variant Creutzfeldt-Jakob Disease; Gerstmann-Streussler-Shanker Disease; Fatal Familial Insomnia,Dementia; Myoclonus; Aphasia/apraxia/agnosia; Visual loss,,
Propionibacterium acnes,Bacteria,,,Gram positive,Rod,Anaerobe -> Aerotolerant,Comedones: Topical retinoids; Inflamed: Add benzoyl peroxide; Severe: Doxycycline; Refractory: Isotretinoin (pregnancy test first),,Acne; Infection of prosthetic devices,,,
Proteus mirabilis,Bacteria,,,Gram negative,Rod,Urease positive -> Alkaline urine; Swarming motility in culture; Lactase negative; Indole negative; H2S positive,,,Urinary tract infection (UTI),Nephrolithiasis -> Struvite (Mg-Ammonia-Phos),,
Pseudomonas aeruginosa,Bacteria,,"Ubiquitous in environment (especially water); Can survive in harsh conditions, including hospital settings; Smells like grapes",Gram negative,Rod; Flagellated; Prominent biofilm production,Aerobe -> Strict; Oxidase positive; Catalase positive; Pyocyanin pigment production; Lactase negative; MacConkey Agar -> Isolate gram negative/enterics,"Resistance to many antibiotics; Anti-pseudomonal penicillin (Piperacillin-tazobactam); Cephalosporin (ceftazadime, cefepime); Aminoglycoside (amikacin, tobramycin, gentamicin); Fluoroquinolones (ciprofloxacin)",Adherence to infection control standards; Persistent infection: Inhaled tobramycin or aztreonam or oral azithromycin,Otitis externa -> Swimmer's ear; Folliculitis; Pneumonia -> In cystic fibrosis patients; Osteomyelitis -> Penetrating injury,,,"Schaechter's Mechanisms of Microbial Disease, 5th edition, pp. 221-227"
Rabies,Virus,,Infection slowly travels from wound to brain -> Treat quickly,,Rhabdovirus; Enveloped; Bullet-shaped; (-) ssRNA; Negri bodies -> Eosinophilic inclusions,Staining of brain tissue; Direct fluorescence antibody stain,No cure once in the brain,Rabies vaccine; Rabies IgG; Wound clensing,Acute encephalitis,Early: Anxiety; Early: Confusion; Early: Agitation; Early: Pruritis (at wound site); Late: Salivation; Late: Delirium; Late: Behavior changes; Late: Hallucinations; Late: Insomnia,,
Respiratory Syncytial Virus,Virus,,Pneumovirus,,,,,Supportive; Palivizumab -> IgG against RSV,Bronchiolitis; Pneumonia -> Young children,Bronchiolitis: 2yo; Bronchiolitis: Wheezing; Bronchiolitis: Dyspnea,,
Rhizopus,Fungus,,"Risk factors: Diabetes mellitus (ketoacidosis); Risk factors: Hematologic malignancy; Risk factors: Transplant (solid organ, stem cell)",,,Sinus endoscopy with Bx & Cx,"Surgical debridement; Amphotericin B; Address risk factors (↑glucose, acidosis)",,Mucormycosis,"Necrotic invasion of palate, orbit, brain; Fever, nasal congestion, purulent nasal discharge, headache, sinus pain",,
Rhinovirus,Virus,,Picornavirus,,,Diagnose with H&P; Serology,Supportive -> Disease largely self-limited,Hand hygiene,Upper Respiratory Infection (URI) -> Common cold,,,
Rickettsia akara,Bacteria,Mite-borne,,Gram negative,Coccobacillus; Intracellular -> Obligate,,,,Rickettsial pox,Rash -> Papulovesicular; Eschar at bite site,,
Rickettsia prowazekii,Bacteria,Lice vector,,Gram negative,Coccobacillus; Intracellular -> Obligate,,,,Epidemic Typhus,Fever; Headache; Myalgia; Rash; Cough; Nausea,,
Rickettsia rickettsii,Bacteria,Tick-borne,SE United States,Gram negative,Coccobacillus; Intracellular -> Obligate,Giemsa stain,Doxycycline; Ceftriaxone -> For meningitis,,Rocky Mountain Spotted Fever (RMSF),Rash -> Starts on wrists and ankles and spreads centrally and to palms and soles; Headache,Erlichia spp -> RMSF without the spots; Orientia tsutsugamushi -> Other Ricketssial Zoonoses; Anaplasma phagocytophilum -> Other Ricketssial Zoonoses,
Rickettsia typhi,Bacteria,,Flea-borne,Gram negative,Coccobacillus; Intracellular -> Obligate,,,,Endemic/Murine typhus,,,
Rotavirus,Virus,,Infects enterocyes of small intestinal villi,,Reovirus; Non-enveloped; Icosaheadral; dsRNA; Segmented genome -> 11 segments,Serology; ELISA -> Stool; RT-PCR,Supportive -> Disease largely self-limited,Rotavirus Vaccine -> Increased risk for intussusception,,"Nausea; Vomting; Diarrhea -> Watery, in children <2; Loss of appetite",,
Rubella,Virus,,TORCH -> Rubella,,Togavirus; Enveloped; (+) ssRNA,Serology; Culture,,MMR vaccine,Rubella/German Measles; Congenital: Cataracts; Congenital: Sensorineural hearing loss; Congenital: PDA,"Prodrome: Generalized tender lymphadenopathy; Rash -> Maculopapular, spreading from face to body; Blueberry muffin spots",,
SARS-CoV,Virus,,,,Coronavirus,,,,Severe Acute Respiratory Syndrome (SARS),Fever; Myalgia; Headache; Diarrhea,,
Salmonella enterica,Bacteria,Raw eggs; Chicken; Ice cream,,Gram negative,Rod,MacConkey Agar -> Non-lactose fermenter; H2S positive,,,Traveler's diarrhea,,,
Salmonella enteriditis,Bacteria,Pet turtles; Reptiles; Ducks; Chickens,,Gram negative,Rod,MacConkey Agar -> Non-lactose fermenter,,,Traveler's diarrhea; Food poisoning; Enterocolitis,Abrupt onset; Fever -> Low grade; Nausea; Vomiting; Diarrhea,,
Salmonella typhi,Bacteria,Contaminated water; Undercooked food,,Gram negative,Rod,MacConkey Agar -> Non-lactose fermenter,Fluoroquinolones; Ceftriaxone; Azithromycin,Inactivated Typhoid Vaccine -> IM; Live Typhoid Vaccine -> PO,Traveler's diarrhea; Typhoid fever; Osteomyelitis -> Patients with sickle cell; Hepatitis; Cholecystitis; Pyelonephritis; Meningitis,Early: Constipation; Late: Bloody diarrhea; Delirium; Coma; Deafness ,,
Sarcoptes scabiei,Mite,,,,,,Permethrin -> Topical; Ivermectin -> PO,,Scabies,"Rash -> Intensely pruritic between fingers, on beltline, or other skin creases",,
Schistosoma spp,Fluke,Freshwater snails -> Waters of Egypt,"Blood-fluke, parasitic flatworm",,Haematobium: Single spine on end; Mansoni: Single lateral spine,,Praziquantel,,Schistosomiasis; Bladder cancer,Diarrhea -> Bloody; Hematuria,,
Shiga Toxin-producing Escherichia coli (STEC),Bacteria,Food poisoning; Crowded places,Similar to EHEC,Gram negative,Rod,,,,Hemorrhagic colitis; Hemolytic uremic syndrome,,,
Shigella spp,Bacteria,Feces; Fingers; Fomites; Flies,Species: S. boydii; Species: S. dysenteriae; Species: S. flexnerii; Species: S. sonnei,Gram negative,Rod,Ferment glucose; Oxidase negative; MacConkey Agar -> Non-lactose fermenter; Anaerobe -> Facultative,,,Reiter syndrome -> Reactive arthritis; Hemolytic uremic syndrome (HUS); Dysentery -> Severe diarrhea + blood + mucus; Traveler's diarrhea,,,
Smallpox,Virus,,Bioterrorism agent -> Category A; Eradicated in 1980,,Poxvirus,Guarnieri bodies -> Cytoplasmic inclusions,,Smallpox vaccine -> Modified vaccinia Ankara virus,Smallpox,"Incubation: Asymptomatic; Initial: Fever; Initial: Headache; Initial: Myalgia; Early: Rash on tongue and mouth; Mid: Pustular rash; Late: Scabs fall off; Rash -> Palms and soles, less dense on body",,
Sporothrix schenkii,Fungus,Rose thorn,,,Cigar-shaped yeast; Dimorphic; Hyphae thin and branched,,Itraconazole; Saturated solution of potassium iodide,,"Sporotrichosis -> ""Rose Gardener's Disease""; Osteomyelitis -> In gardener",Ascending infection of skin along path of lymphatics,Coccidioides immitis -> Dimorphic fungus; Histoplasma capsulatum -> Dimorphic fungus; Candida albicans -> Dimorphic fungus; Blastomyces -> Dimorphic fungus; Mycobacterium marinum -> Similar lesion distribution,
St. Louis Encephalitis virus,Virus,,,,Flavivirus; (+) ssRNA,Serology,,,Saint Louis Encephalitis,Flu-like symptoms; Fever; Rash; Myalgia; Chills,,
Staphylococcus aureus,Bacteria,,"Protein A -> On surface, neutralizes antibodies; Enterotoxin A -> Food poisoning",Gram positive,Cocci in clusters,Catalase positive; Oxidase negative; Coagulase positive,MSSA: Nafcillin; MSSA: Cefazolin; MSSA: Oxacillin; MRSA: Vancomycin; MRSA: TMP-SMX; MRSA: Clindamycin; MRSA: Linezolid; Nec fasc: Ceftriaxone; Necrotizing fasciitis: Clindamycin; Necrotizing fasciitis: Ampicillin,,"Otitis externa; Osteomyelitis -> Most common; Cellulitis -> Deep, abscesses (most common); Food poisoning -> Most common; Necrotizing fasciitis; Community acquired pneumonia (CAP) -> Age >65 s/p viral-illness, or cystic fibrosis; Endocarditis -> Acute; Toxic Shock Syndrome",,,
Staphylococcus epidermidis,Bacteria,,"[i]See implanted device, think epidermidis",Gram positive,Cocci in clusters,Catalase positive; Oxidase negative; Coagulase negative,,,Endocarditis -> Implanted devices,,,
